nivel=0 bottomLeft=(-31.135803, -13.230604, -12.171947) lado=62.370044 puntos=10913 interno
  nivel=1 bottomLeft=(-31.135803, -13.230604, -12.171947) lado=31.185022 puntos=5469 interno
    nivel=2 bottomLeft=(-31.135803, -13.230604, -12.171947) lado=15.592511 puntos=32 interno
      nivel=3 bottomLeft=(-23.3395475, -13.230604, -4.3756915) lado=7.7962555 puntos=1 hoja
      nivel=3 bottomLeft=(-23.3395475, -5.4343485, -4.3756915) lado=7.7962555 puntos=31 interno
        nivel=4 bottomLeft=(-19.44141975, -5.4343485, -0.47756375) lado=3.89812775 puntos=17 interno
          nivel=5 bottomLeft=(-17.492355875, -5.4343485, 1.471500125) lado=1.949063875 puntos=8 interno
            nivel=6 bottomLeft=(-16.5178239375, -5.4343485, 2.4460320625) lado=0.9745319375 puntos=2 interno
              nivel=7 bottomLeft=(-16.0305579688, -5.4343485, 2.93329803125) lado=0.48726596875 puntos=1 hoja
              nivel=7 bottomLeft=(-16.0305579688, -4.94708253125, 2.93329803125) lado=0.48726596875 puntos=1 hoja
            nivel=6 bottomLeft=(-16.5178239375, -4.4598165625, 2.4460320625) lado=0.9745319375 puntos=6 interno
              nivel=7 bottomLeft=(-16.0305579688, -4.4598165625, 2.93329803125) lado=0.48726596875 puntos=4 interno
                nivel=8 bottomLeft=(-16.0305579688, -4.4598165625, 3.17693101562) lado=0.243632984375 puntos=1 hoja
                nivel=8 bottomLeft=(-15.7869249844, -4.4598165625, 3.17693101562) lado=0.243632984375 puntos=1 hoja
                nivel=8 bottomLeft=(-16.0305579688, -4.21618357813, 3.17693101562) lado=0.243632984375 puntos=1 hoja
                nivel=8 bottomLeft=(-15.7869249844, -4.21618357813, 3.17693101562) lado=0.243632984375 puntos=1 hoja
              nivel=7 bottomLeft=(-16.0305579688, -3.97255059375, 2.93329803125) lado=0.48726596875 puntos=2 interno
                nivel=8 bottomLeft=(-16.0305579688, -3.72891760938, 3.17693101562) lado=0.243632984375 puntos=1 hoja
                nivel=8 bottomLeft=(-15.7869249844, -3.72891760938, 3.17693101562) lado=0.243632984375 puntos=1 hoja
          nivel=5 bottomLeft=(-17.492355875, -3.485284625, 1.471500125) lado=1.949063875 puntos=9 interno
            nivel=6 bottomLeft=(-16.5178239375, -3.485284625, 2.4460320625) lado=0.9745319375 puntos=4 interno
              nivel=7 bottomLeft=(-16.0305579688, -3.485284625, 2.93329803125) lado=0.48726596875 puntos=2 interno
                nivel=8 bottomLeft=(-15.7869249844, -3.485284625, 3.17693101562) lado=0.243632984375 puntos=1 hoja
                nivel=8 bottomLeft=(-16.0305579688, -3.24165164063, 3.17693101562) lado=0.243632984375 puntos=1 hoja
              nivel=7 bottomLeft=(-16.5178239375, -2.99801865625, 2.93329803125) lado=0.48726596875 puntos=1 hoja
              nivel=7 bottomLeft=(-16.0305579688, -2.99801865625, 2.93329803125) lado=0.48726596875 puntos=1 hoja
            nivel=6 bottomLeft=(-16.5178239375, -2.5107526875, 2.4460320625) lado=0.9745319375 puntos=5 interno
              nivel=7 bottomLeft=(-16.5178239375, -2.5107526875, 2.93329803125) lado=0.48726596875 puntos=1 hoja
              nivel=7 bottomLeft=(-16.0305579688, -2.5107526875, 2.93329803125) lado=0.48726596875 puntos=1 hoja
              nivel=7 bottomLeft=(-16.5178239375, -2.02348671875, 2.93329803125) lado=0.48726596875 puntos=1 hoja
              nivel=7 bottomLeft=(-16.0305579688, -2.02348671875, 2.93329803125) lado=0.48726596875 puntos=2 interno
                nivel=8 bottomLeft=(-15.7869249844, -1.77985373438, 2.93329803125) lado=0.243632984375 puntos=1 hoja
                nivel=8 bottomLeft=(-16.0305579688, -1.77985373438, 3.17693101562) lado=0.243632984375 puntos=1 hoja
        nivel=4 bottomLeft=(-19.44141975, -1.53622075, -0.47756375) lado=3.89812775 puntos=14 interno
          nivel=5 bottomLeft=(-17.492355875, -1.53622075, 1.471500125) lado=1.949063875 puntos=7 interno
            nivel=6 bottomLeft=(-16.5178239375, -1.53622075, 2.4460320625) lado=0.9745319375 puntos=3 interno
              nivel=7 bottomLeft=(-16.0305579688, -1.53622075, 2.93329803125) lado=0.48726596875 puntos=1 hoja
              nivel=7 bottomLeft=(-16.5178239375, -1.04895478125, 2.93329803125) lado=0.48726596875 puntos=1 hoja
              nivel=7 bottomLeft=(-16.0305579688, -1.04895478125, 2.93329803125) lado=0.48726596875 puntos=1 hoja
            nivel=6 bottomLeft=(-16.5178239375, -0.5616888125, 2.4460320625) lado=0.9745319375 puntos=4 interno
              nivel=7 bottomLeft=(-16.0305579688, -0.5616888125, 2.4460320625) lado=0.48726596875 puntos=1 hoja
              nivel=7 bottomLeft=(-16.5178239375, -0.5616888125, 2.93329803125) lado=0.48726596875 puntos=1 hoja
              nivel=7 bottomLeft=(-16.0305579688, -0.5616888125, 2.93329803125) lado=0.48726596875 puntos=1 hoja
              nivel=7 bottomLeft=(-16.0305579688, -0.07442284375, 2.93329803125) lado=0.48726596875 puntos=1 hoja
          nivel=5 bottomLeft=(-17.492355875, 0.412843125, 1.471500125) lado=1.949063875 puntos=7 interno
            nivel=6 bottomLeft=(-16.5178239375, 0.412843125, 2.4460320625) lado=0.9745319375 puntos=5 interno
